,base,case_1,case_3,case_2
rc204C5,176.0,0.0,196.0,180.0
c103C5,175.0,0.0,190.0,177.0
r105C5,156.0,0.0,202.0,161.0
r202C5,144.0,0.0,162.0,150.0
rc208C5,167.0,0.0,187.0,173.0
rc108C5,253.0,0.268615,278.0,258.0
r203C5,179.0,0.0,213.0,185.0
c101C5,274.0,0.0,326.0,284.0
rc105C5,233.0,0.093756,252.0,242.0
r104C5,136.0,0.0,161.0,140.0
c206C5,245.0,0.0,284.0,254.0
c208C5,164.0,0.0,195.0,168.0
